ID_echantillon;Date;heure;Lieu;Longitude;Latitude;Remarques
01_1;26-mars;9h40;IRD;166,442361;22,30072;
01_2;26-mars;9h47;IRD;166,442418;22,300584;
01_3;26-mars;9h53;IRD;166,442389;22,300387;
01_4;26-mars;10h03;IRD;166,442372;22,300263;
01_5;26-mars;10h10;IRD;166,442560;22,300258;
01_6;26-mars;10h15;IRD;166,442727;22,300215;
02_1;26-mars;10h26;IRD;166,443348;22,300168;
02_2;26-mars;10h34;IRD;166,444102;22,300161;
02_3;26-mars;10h39;IRD;166,444222;22,300241;
02_4;26-mars;13h37;IRD;166,443375;22,301783;Echantillonnée plus tard
02_5;26-mars;10h53;IRD;166,444442;22,300486;
02_6;26-mars;10h58;IRD;166,444049;22,301004;
03_1;01-avr;9h12;Dzumac;166,446579;22,12077;
03_2;01-avr;9h15;Dzumac;166,446791;22,120763;
03_3;01-avr;9h28;Dzumac;166,447829;22,120125;
03_4;01-avr;9h33;Dzumac;166,448302;22,120155;
03_5;01-avr;10h20;Dzumac;166,461086;22,179932;
03_6;01-avr;10h20;Dzumac;166,461086;22,179932;
04_1;01-avr;9h41;Dzumac;166,451201;22,118991;
04_2;01-avr;9h50;Dzumac;166,453309;22,119419;
04_3;01-avr;10h00;Dzumac;166,457070;22,118939;feuilles plus larges que 1256
04_4;01-avr;10h05;Dzumac;166,457155;22,119052;feuilles plus larges que 1257
04_5;01-avr;10h10;Dzumac;166,457532;22,119088;
04_6;01-avr;10h10;Dzumac;166,457580;22,119076;
05_1;01-avr;10h20;Dzumac;166,461086;22,179932;
05_2;01-avr;10h25;Dzumac;166,461237;22,117886;
05_3;01-avr;10h30;Dzumac;166,461102;22,117832;
05_4;01-avr;10h33;Dzumac;166,461102;22,117832;
05_5;01-avr;10h37;Dzumac;166,460878;22,117862;
05_6;01-avr;10h37;Dzumac;166,460878;22,117862;
06_1;01-avr;10h45;Dzumac;166,460721;22,118043;
06_2;01-avr;10h55;Dzumac;166,453029;22,119469;
06_3;01-avr;10h55;Dzumac;166,453029;22,119469;
06_4;01-avr;11h00;Dzumac;166,452667;22,119382;
06_5;01-avr;11h00;Dzumac;166,452667;22,119382;
06_6;01-avr;11h00;Dzumac;166,452667;22,119382;
07_1;03-avr;9h55;IRD;166,443552;22,301095;
07_2;03-avr;9h56;IRD;166,443552;22,301095;
07_3;03-avr;10h00;IRD;166,443552;22,301095;
07_4;03-avr;10h01;IRD;166,443552;22,301095;
07_5;03-avr;10h03;IRD;166,443770;22,301086;
07_6;03-avr;10h05;IRD;166,443770;22,301086;
08_1;03-avr;10h08;IRD;166,443479;22,300974;
08_2;03-avr;10h10;IRD;166,443479;22,300974;
08_3;03-avr;10h27;IRD;166,443663;22,300963;
09_1;03-avr;10h44;IRD;166,443547;22,30036;
